FieldName,Metric,Score
Alcohol_Consumption,Accuracy,0.78
Anatomic_Site_of_Lesion,Accuracy,1.0
Charlson_Comorbidity_Score,Accuracy,0.6530612244897959
Clinical_Assessments_Radiological_Lesions,Accuracy,0.8775510204081632
Clinical_Assessments_SUV_from_PET_scans,Accuracy,0.0816326530612244
Clinical_TNM,Accuracy,0.72
EBER_Status,Accuracy,0.06
ECOG_Performance_Status,Accuracy,0.8979591836734694
Follow_Up_Plans,Accuracy,0.9
HPV_Status,Accuracy,0.76
Immunohistochemical_profile,Accuracy,0.8
Karnofsky_Performance_Status,Accuracy,0.8775510204081632
Lymph_Node_Status_Extranodal_Extension,Accuracy,0.64
Lymph_Node_Status_Number_of_Positve_Lymph_Nodes,Accuracy,0.9
Lymph_Node_Status_Presence_Absence,Accuracy,0.96
Lymphovascular_Invasion_Status,Accuracy,0.54
Pack_Years,Accuracy,0.78
Pathological_TNM,Accuracy,0.44
Pathology_Details,Accuracy,0.98
Patient_History_Status_Previous_Treatments,Accuracy,0.9183673469387756
Patient_History_Status_Prior_Conditions,Accuracy,0.84
Patient_Symptoms_at_Presentation,Accuracy,0.96
Perineural_Invasion_Status,Accuracy,0.44
Primary_Tumor_Size,Accuracy,0.86
Resection_Margins,Accuracy,0.5
Sex,Accuracy,0.8979591836734694
Smoking_History,Accuracy,0.9
Treatment_Recommendations,Accuracy,0.9
Tumor_Type_Differentiation,Accuracy,0.82
p16_Status,Accuracy,0.76
Alcohol_Consumption,Precision,0.975
Anatomic_Site_of_Lesion,Precision,1.0
Charlson_Comorbidity_Score,Precision,0.6530612244897959
Clinical_Assessments_Radiological_Lesions,Precision,1.0
Clinical_Assessments_SUV_from_PET_scans,Precision,1.0
Clinical_TNM,Precision,0.9473684210526316
EBER_Status,Precision,1.0
ECOG_Performance_Status,Precision,1.0
Follow_Up_Plans,Precision,1.0
HPV_Status,Precision,1.0
Immunohistochemical_profile,Precision,1.0
Karnofsky_Performance_Status,Precision,0.9772727272727272
Lymph_Node_Status_Extranodal_Extension,Precision,0.9696969696969696
Lymph_Node_Status_Number_of_Positve_Lymph_Nodes,Precision,0.9574468085106383
Lymph_Node_Status_Presence_Absence,Precision,1.0
Lymphovascular_Invasion_Status,Precision,0.9642857142857144
Pack_Years,Precision,0.975
Pathological_TNM,Precision,1.0
Pathology_Details,Precision,0.98
Patient_History_Status_Previous_Treatments,Precision,1.0
Patient_History_Status_Prior_Conditions,Precision,0.9767441860465116
Patient_Symptoms_at_Presentation,Precision,1.0
Perineural_Invasion_Status,Precision,0.88
Primary_Tumor_Size,Precision,0.9772727272727272
Resection_Margins,Precision,1.0
Sex,Precision,0.9555555555555556
Smoking_History,Precision,1.0
Treatment_Recommendations,Precision,1.0
Tumor_Type_Differentiation,Precision,0.9318181818181818
p16_Status,Precision,1.0
Alcohol_Consumption,Recall,0.7959183673469388
Anatomic_Site_of_Lesion,Recall,1.0
Charlson_Comorbidity_Score,Recall,1.0
Clinical_Assessments_Radiological_Lesions,Recall,0.8775510204081632
Clinical_Assessments_SUV_from_PET_scans,Recall,0.0816326530612244
Clinical_TNM,Recall,0.75
EBER_Status,Recall,0.06
ECOG_Performance_Status,Recall,0.8979591836734694
Follow_Up_Plans,Recall,0.9
HPV_Status,Recall,0.76
Immunohistochemical_profile,Recall,0.8
Karnofsky_Performance_Status,Recall,0.8958333333333334
Lymph_Node_Status_Extranodal_Extension,Recall,0.6530612244897959
Lymph_Node_Status_Number_of_Positve_Lymph_Nodes,Recall,0.9375
Lymph_Node_Status_Presence_Absence,Recall,0.96
Lymphovascular_Invasion_Status,Recall,0.5510204081632653
Pack_Years,Recall,0.7959183673469388
Pathological_TNM,Recall,0.4285714285714285
Pathology_Details,Recall,1.0
Patient_History_Status_Previous_Treatments,Recall,0.9183673469387756
Patient_History_Status_Prior_Conditions,Recall,0.8571428571428571
Patient_Symptoms_at_Presentation,Recall,0.96
Perineural_Invasion_Status,Recall,0.4680851063829787
Primary_Tumor_Size,Recall,0.8775510204081632
Resection_Margins,Recall,0.5
Sex,Recall,0.9347826086956522
Smoking_History,Recall,0.9
Treatment_Recommendations,Recall,0.9
Tumor_Type_Differentiation,Recall,0.8723404255319149
p16_Status,Recall,0.76
Alcohol_Consumption,F1,0.8764044943820225
Anatomic_Site_of_Lesion,F1,1.0
Charlson_Comorbidity_Score,F1,0.7901234567901235
Clinical_Assessments_Radiological_Lesions,F1,0.9347826086956522
Clinical_Assessments_SUV_from_PET_scans,F1,0.150943396226415
Clinical_TNM,F1,0.8372093023255814
EBER_Status,F1,0.1132075471698113
ECOG_Performance_Status,F1,0.9462365591397848
Follow_Up_Plans,F1,0.9473684210526316
HPV_Status,F1,0.8636363636363636
Immunohistochemical_profile,F1,0.888888888888889
Karnofsky_Performance_Status,F1,0.9347826086956522
Lymph_Node_Status_Extranodal_Extension,F1,0.7804878048780488
Lymph_Node_Status_Number_of_Positve_Lymph_Nodes,F1,0.9473684210526316
Lymph_Node_Status_Presence_Absence,F1,0.979591836734694
Lymphovascular_Invasion_Status,F1,0.7012987012987012
Pack_Years,F1,0.8764044943820225
Pathological_TNM,F1,0.6
Pathology_Details,F1,0.98989898989899
Patient_History_Status_Previous_Treatments,F1,0.9574468085106383
Patient_History_Status_Prior_Conditions,F1,0.9130434782608696
Patient_Symptoms_at_Presentation,F1,0.979591836734694
Perineural_Invasion_Status,F1,0.6111111111111112
Primary_Tumor_Size,F1,0.9247311827956988
Resection_Margins,F1,0.6666666666666666
Sex,F1,0.945054945054945
Smoking_History,F1,0.9473684210526316
Treatment_Recommendations,F1,0.9473684210526316
Tumor_Type_Differentiation,F1,0.9010989010989012
p16_Status,F1,0.8636363636363636
